Thématique;Sous-thème;mot;noyau;genre;mot en chinois;phrases françaises;phrases chinoises;tag;
faire;agriculture;labourer;1;v.;??;Ils ont labouré entièrement le champ.;?????????;labourer/entièrement/champ;
faire;évoluer;adapter;1;v.;??;Elle s'est bien adaptée à sa nouvelle vie.;??????????;s'adapter/nouvelle/vie;
faire;fonction;adjoint, e;1;adj./n.;??;Il a un adjoint très efficace.;??????????;adjoint/efficace;
faire;pour;afin;1;prép./conj.;??;Elle l'a aidée afin de lui prouver son amitié.;??????????????;aider/afinde/prouver/amitié;
faire;activité;agir;1;v.;??;N'agissez pas sans réfléchir.;??????;agir/réfléchir;
faire;activité;action;1;f.;??;Leur action a été couronnée de succès.;?????????;action/couronner/succès;
faire;pour;ainsi;1;adv.;??/??;C'est ainsi que va la vie.;???????;ainsi/aller/vie;
faire;pour;alors;1;adv.;??/??;Il était libre, alors il est venu.;?????????;libre/alors/venir;
faire;faire;amateur, rice;1;m. /f.;?????;Elle est amatrice de belles choses.;?????????;amatrice/belle/chose;
faire;objectif;ambition;1;f.;??/??;Elle a une grande ambition pour sa fille.;?????????;grande/ambition/fille;
faire;objectif;ambitieux, euse;1;adj.;????;Est-ce qu'il est trop ambitieux?;???????;ambitieux;
faire;activité;animation;1;f.;????;C'est une animation pour les enfants.;??????????????;animation/enfant;
faire;activité;animateur, trice;1;m. /f.;???;Il est animateur dans un centre populaire.;?????????????;animateur/centrepopulaire;
faire;activité;animer;1;v.;???;Elle a animé la réunion avec beaucoup de talent.;??????????;animer/réunion/talent;
faire;faire;appliquer;1;v.;??;Il faut appliquer les principes.;???????;appliquer/principe;
faire;aide;assurance;1;f.;??;Il a pris deux assurances sur la maison.;???????????;assurance/maison/prendre;
faire;aide;assurer;1;v.;??;Ils sont bien assurés contre les risques.;??????;assurer/risque;
faire;faire;autonome;1;adj.;??/???;Maintenant il est autonome dans ses activités.;???????;autonome/activité;
faire;aide;avantage;1;m.;??/??;Je n’ai aucun avantage à choisir cette solution.;????????????????;avantage/choisir/solution;
faire;objectif;axer;1;v.;??;J’ai axé mon travail sur la santé.;??????????;axer/travail/santé;
faire;objectif;axe;1;m.;??;Quel est l'axe que tu as choisi pour ton discours ?;?????????????;axe/choisir/discours;
faire;pour;bien que;1; conj.;??;Bien qu’il soit pauvre, il est généreux.;????????????;bienque/pauvre/généreux;
faire;objectif;but ;1;m.;??;Quel est son but dans l’existence ?;??????????;but/existence;
faire;travail;cadre;1; m.;??/??;Son père est cadre dans l’industrie;????????????;cadre/industrie;
